cityEnglishName,cityName,confirmedCount,curedCount,currentConfirmedCount,deadCount,date
Xiantao,仙桃,575,552,1,22,2020-04-02
Shiyan,十堰,672,664,0,8,2020-04-02
Xianning,咸宁,836,821,0,15,2020-04-02
Tianmen,天门,496,481,0,15,2020-04-02
Xiaogan,孝感,3518,3389,1,128,2020-04-02
Yichang,宜昌,931,894,1,36,2020-04-02
Enshi Tujia and Miao Autonomous Prefecture,恩施州,252,245,0,7,2020-04-02
Wuhan,武汉,50007,46320,1128,2559,2020-04-02
Qianjiang,潜江,198,189,0,9,2020-04-02
Shennongjia,神农架林区,11,11,0,0,2020-04-02
Jingzhou,荆州,1580,1528,0,52,2020-04-02
Jingmen,荆门,928,887,0,41,2020-04-02
Xiangyang,襄阳,1175,1135,1,39,2020-04-02
Ezhou,鄂州,1394,1335,0,59,2020-04-02
Suizhou,随州,1307,1262,0,45,2020-04-02
Huanggang,黄冈,2907,2782,0,125,2020-04-02
Huangshi,黄石,1015,976,0,39,2020-04-02
